-75.27362,39.8763,0.2869,
0,37425 ,14632 ,Homicide - Criminal,12
1,39768 ,34760 ,Motor Vehicle Theft,13
2,45626 ,47074 ,Robbery No Firearm,13
3,50924 ,36718 ,Aggravated Assault No Firearm,19
4,66251 ,59403 ,Burglary Residential,28
5,48565 ,30723 ,Robbery No Firearm,34
6,34131 ,18736 ,Burglary Residential,45
7,31286 ,41640 ,Aggravated Assault Firearm,55
8,31286 ,41640 ,Aggravated Assault Firearm,56
9,17672 ,29103 ,Robbery No Firearm,58
10,86097 ,70895 ,Theft from Vehicle,58
11,16322 ,23228 ,Aggravated Assault Firearm,59
12,82052 ,52827 ,Aggravated Assault Firearm,73
13,17563 ,31096 ,Burglary Residential,76
14,64566 ,45502 ,Homicide - Criminal,86
15,36527 ,25987 ,Aggravated Assault No Firearm,87
16,34649 ,21793 ,Burglary Non-Residential,89
17,41915 ,18870 ,Aggravated Assault No Firearm,90
18,79025 ,74819 ,Aggravated Assault No Firearm,97
19,18950 ,36120 ,Theft from Vehicle,98
20,72014 ,64175 ,Aggravated Assault No Firearm,99
21,38573 ,36481 ,Aggravated Assault No Firearm,102
22,53157 ,55928 ,Aggravated Assault Firearm,105
23,82052 ,52827 ,Burglary Residential,107
24,41312 ,48162 ,Burglary Residential,109
25,53142 ,52045 ,Theft from Vehicle,109
26,18685 ,27891 ,Robbery No Firearm,114
27,16734 ,28367 ,Aggravated Assault Firearm,117
28,47184 ,47945 ,Aggravated Assault No Firearm,134
29,38797 ,50962 ,Robbery No Firearm,142
30,38980 ,37484 ,Aggravated Assault No Firearm,144
31,59322 ,43773 ,Aggravated Assault No Firearm,144
32,50568 ,38308 ,Aggravated Assault No Firearm,151
33,10785 ,15803 ,Robbery No Firearm,153
34,17279 ,53609 ,Aggravated Assault Firearm,157
35,86064 ,62226 ,Aggravated Assault No Firearm,158
36,42374 ,28589 ,Homicide - Criminal,162
37,13029 ,24647 ,Aggravated Assault No Firearm,173
38,45564 ,42952 ,Rape,176
39,33449 ,57958 ,Burglary Residential,179
40,45895 ,28704 ,Aggravated Assault No Firearm,181
41,51734 ,55014 ,Burglary Residential,181
42,17028 ,57342 ,Aggravated Assault No Firearm,185
43,38088 ,25572 ,Aggravated Assault No Firearm,197
44,45994 ,42895 ,Burglary Residential,199
45,16734 ,28367 ,Aggravated Assault Firearm,206
46,16734 ,28367 ,Aggravated Assault Firearm,206
47,18950 ,36120 ,Theft from Vehicle,207
48,54068 ,53660 ,Motor Vehicle Theft,216
49,18777 ,25321 ,Burglary Residential,219
50,76925 ,64661 ,Robbery No Firearm,238
51,58965 ,42785 ,Rape,244
52,39903 ,46879 ,Aggravated Assault Firearm,300
53,40093 ,13517 ,Aggravated Assault No Firearm,301
54,66734 ,49234 ,Aggravated Assault No Firearm,302
55,45895 ,28704 ,Aggravated Assault No Firearm,308
56,51745 ,55843 ,Homicide - Criminal,332
57,38125 ,25266 ,Burglary Non-Residential,333
58,54655 ,41494 ,Robbery No Firearm,335
59,48767 ,38585 ,Aggravated Assault Firearm,341
60,37645 ,18740 ,Robbery Firearm,348
61,40048 ,37678 ,Rape,352
62,18610 ,51376 ,Robbery No Firearm,359
63,21521 ,27063 ,Aggravated Assault No Firearm,361
64,22397 ,28926 ,Aggravated Assault No Firearm,379
65,17070 ,30864 ,Robbery Firearm,387
66,17034 ,26290 ,Theft from Vehicle,486
67,20609 ,31851 ,Burglary Residential,489
68,49025 ,38448 ,Motor Vehicle Theft,495
69,87761 ,77972 ,Burglary Non-Residential,515
70,69789 ,62802 ,Motor Vehicle Theft,542
71,39426 ,36867 ,Theft from Vehicle,576
72,38276 ,37555 ,Theft from Vehicle,586
73,47429 ,46832 ,Aggravated Assault No Firearm,606
74,55219 ,41213 ,Theft from Vehicle,608
75,34563 ,71749 ,Burglary Residential,610
